Project Name,Project ID,Created Date,Last Modified Date , Status ,# of Files in Deposit ,Total File Size ,,,,,,
  Data and Code for: Unemployment Insurance and Means-Tested Program Interactions: Evidence from Administrative Data  ,109704,  2019-05-10T11:57:43  ,  2019-05-10T15:57:43.142Z  ,  PUBLISHED  ,57,7198644,,,,,,
  Replication data for: Intergenerational Occupational Mobility in Great Britain and the United States since 1850: Reply  ,112667,  2013-08-01T00:00:00  ,  2019-10-11T23:02:27.27Z  ,  PUBLISHED  ,4,142094,,,,,,
  Replication data for: Do We Follow Others When We Should? A Simple Test of Rational Expectations: Comment  ,112679,  2013-10-01T00:00:00  ,  2019-10-11T23:16:54.784Z  ,  PUBLISHED  ,8,35620650,,,,,,
  Replication data for: Demographics and the Politics of Capital Taxation in a Life-Cycle Economy  ,112328,  2010-03-01T00:00:00  ,  2019-10-11T18:32:59.67Z  ,  PUBLISHED  ,3,165715,,,,,,
  Replication data for: Segregation and the Quality of Government in a Cross Section of Countries  ,112449,  2011-08-01T00:00:00  ,  2019-10-11T19:59:47.173Z  ,  PUBLISHED  ,24,6113968,,,,,,
  Replication data for: Face Value  ,112437,  2011-06-01T00:00:00  ,  2019-10-11T19:51:49.137Z  ,  PUBLISHED  ,7,370510,,,,,,
  Replication data for: Disaster Risk and Business Cycles  ,112558,  2012-05-01T00:00:00  ,  2019-10-11T21:57:10.346Z  ,  PUBLISHED  ,105,1322683,,,,,,
  Replication data for: Risk Aversion and Incentive Effects: Comment  ,112316,  2005-06-01T00:00:00  ,  2019-10-11T18:29:50.075Z  ,  PUBLISHED  ,28,909639,,,,,,
  Replication data for: Electricity Consumption and Durable Housing: Understanding Cohort Effects  ,112425,  2011-05-01T00:00:00  ,  2019-10-11T19:47:38.078Z  ,  PUBLISHED  ,13,70161971,,,,,,
  Replication data for: Heuristic Thinking and Limited Attention in the Car Market  ,112546,  2012-05-01T00:00:00  ,  2019-10-11T21:47:32.36Z  ,  PUBLISHED  ,3,135945,,,,,,
  Replication data for: Sales and Monetary Policy  ,112413,  2011-04-01T00:00:00  ,  2019-10-11T19:43:38.184Z  ,  PUBLISHED  ,14,88926,,,,,,
  Replication data for: The Currency of Reciprocity: Gift Exchange in the Workplace  ,112534,  2012-06-01T00:00:00  ,  2019-10-11T21:41:26.54Z  ,  PUBLISHED  ,7,273341,,,,,,
  Replication data for: The Evolution of Cooperation in Infinitely Repeated Games: Experimental Evidence  ,112401,  2011-02-01T00:00:00  ,  2019-10-11T19:13:11.959Z  ,  PUBLISHED  ,29,6560919,,,,,,
  Replication data for: The Welfare Effects of Bundling in Multichannel Television Markets  ,112510,  2012-04-01T00:00:00  ,  2019-10-11T21:00:32.755Z  ,  PUBLISHED  ,126,63870133,,,,,,
  Replication data for: SSI for Disabled Immigrants: Why Do Ethnic Networks Matter?  ,112631,  2013-05-01T00:00:00  ,  2019-10-11T22:35:23.567Z  ,  PUBLISHED  ,2,34910,,,,,,
  Replication data for: Unconventional Fiscal Policy at the Zero Bound  ,112643,  2013-06-01T00:00:00  ,  2019-10-11T22:41:17.269Z  ,  PUBLISHED  ,14,54791,,,,,,
  Replication data for: Time Use during the Great Recession  ,112655,  2013-08-01T00:00:00  ,  2019-10-11T22:48:49.143Z  ,  PUBLISHED  ,205,1885818876,,,,,,
  QE  Collateral Constraints  and Financial Spillovers  ,111576,  2019-08-26T15:53:38  ,  2019-08-26T19:53:38.808Z  ,  PUBLISHED  ,7,889346,,,,,,
  Data and Code for: Ambiguity  Nominal Bond Yields  and Real Bond Yields  ,111685,  2019-09-03T11:44:14  ,  2019-09-03T15:44:14.036Z  ,  PUBLISHED  ,8,1619688,,,,,,
  Replication data for: News Shocks and the Slope of the Term Structure of Interest Rates  ,112678,  2013-10-01T00:00:00  ,  2019-10-11T23:16:31.119Z  ,  PUBLISHED  ,30,1012751,,,,,,
  Replication data for: Multiple-Product Firms and Product Switching  ,112339,  2010-03-01T00:00:00  ,  2019-10-11T18:36:35.267Z  ,  PUBLISHED  ,13,2315749,,,,,,
  Imperial Russian Factory Database  1894-1908  ,110681,  2019-07-11T08:54:19  ,  2019-07-11T12:54:19.502Z  ,  PUBLISHED  ,13,77589446,,,,,,
  Replication data for: The Collapse of a Medical Labor Clearinghouse (and Why Such Failures Are Rare)  ,112315,  2005-06-01T00:00:00  ,  2019-10-11T18:28:53.49Z  ,  PUBLISHED  ,57,28768019,,,,,,
