"","ticket","date_created","date_resolved","date_updated","Journal","Status","Software.used_1","Software.used_2","Software.used_3","Software.used_4","received","status_change","external","subtask","Resolution","reason1","reason2","reason3","reason4","reason5","reason6","reason7","MCRecommendation","MCRecommendationV2","mc_number_anon"
"1","AEAREP-1676",2020-12-21,NA,2020-12-21,"AEJ:Micro","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",410
"2","AEAREP-1676",2020-12-21,NA,2020-12-21,"","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",410
"3","AEAREP-1676",2020-12-21,NA,2020-12-21,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",410
"4","AEAREP-1674",2020-12-18,NA,2020-12-21,"AER","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",88
"5","AEAREP-1674",2020-12-18,NA,2020-12-18,"AER","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",88
"6","AEAREP-1674",2020-12-18,NA,2020-12-18,"","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",88
"7","AEAREP-1674",2020-12-18,NA,2020-12-18,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",88
"8","AEAREP-1673",2020-12-18,NA,2020-12-21,"AER","Assigned",NA,NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",524
"9","AEAREP-1673",2020-12-18,NA,2020-12-18,"AER","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",524
"10","AEAREP-1673",2020-12-18,NA,2020-12-18,"","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",524
"11","AEAREP-1673",2020-12-18,NA,2020-12-18,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",524
"12","AEAREP-1668",2020-12-16,NA,2020-12-20,"AEJ:Applied Economics","In Progress","Stata",NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"13","AEAREP-1668",2020-12-16,NA,2020-12-16,"AEJ:Applied Economics","Assigned","Stata",NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"14","AEAREP-1668",2020-12-16,NA,2020-12-16,"AEJ:Applied Economics","Open","Stata",NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"15","AEAREP-1668",2020-12-16,NA,2020-12-16,"AEJ:Applied Economics","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"16","AEAREP-1668",2020-12-16,NA,2020-12-16,"AEJ:Applied Economics","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"17","AEAREP-1668",2020-12-16,NA,2020-12-16,"","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"18","AEAREP-1668",2020-12-16,NA,2020-12-16,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",456
"19","AEAREP-1666",2020-12-15,NA,2020-12-15,"AER","Alternate workflow",NA,NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",455
"20","AEAREP-1666",2020-12-15,NA,2020-12-15,"AER","In Progress",NA,NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",455
"21","AEAREP-1666",2020-12-15,NA,2020-12-15,"AER","Assigned",NA,NA,NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",455
"22","AEAREP-1666",2020-12-15,NA,2020-12-15,"AER","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",455
"23","AEAREP-1666",2020-12-15,NA,2020-12-15,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",455
"24","AEAREP-1664",2020-12-15,NA,2020-12-21,"AEJ:Micro","Code","R","Stata",NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"25","AEAREP-1664",2020-12-15,NA,2020-12-21,"AEJ:Micro","In Progress","R","Stata",NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"26","AEAREP-1664",2020-12-15,NA,2020-12-16,"AEJ:Micro","Assigned","R","Stata",NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"27","AEAREP-1664",2020-12-15,NA,2020-12-15,"AEJ:Micro","Open","Stata","R",NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"28","AEAREP-1664",2020-12-15,NA,2020-12-15,"AEJ:Micro","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"29","AEAREP-1664",2020-12-15,NA,2020-12-15,"AEJ:Micro","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"30","AEAREP-1664",2020-12-15,NA,2020-12-15,"AEJ:Micro","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"31","AEAREP-1664",2020-12-15,NA,2020-12-15,"","Open",NA,NA,NA,NA,"Yes",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",164
"32","AEAREP-1662",2020-12-15,NA,2020-12-16,"AEJ:Macro","Assigned","Matlab","Stata",NA,NA,"No","Yes","No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",434
"33","AEAREP-1662",2020-12-15,NA,2020-12-15,"AEJ:Macro","Open","Matlab","Stata",NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",434
"34","AEAREP-1662",2020-12-15,NA,2020-12-15,"AEJ:Macro","Open","Stata","Matlab",NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",434
"35","AEAREP-1662",2020-12-15,NA,2020-12-15,"AEJ:Macro","Open",NA,NA,NA,NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",434
